,probs
132464,0.8160825176132714
148972,0.8160880559301869
134434,0.8161038360149362
61463,0.8161048295898508
146421,0.8161374039923526
136445,0.8161404902790477
114212,0.8161708031349677
105311,0.8161783888322707
137261,0.81618862223099
139034,0.8161950068946618
141526,0.8162026453491699
100653,0.8162118786659063
42439,0.8162335904339989
140407,0.816243112672523
150113,0.8162845882095044
3263,0.8163021805661148
140167,0.8163050671767308
125919,0.8163237528984507
112997,0.8163544478044203
102788,0.8163558317521041
96842,0.81635601042399
52826,0.8163674969320666
134734,0.8163675407427273
139500,0.8163684847497102
142172,0.8163744071926778
146064,0.8163754888464476
57596,0.8163807040028471
151026,0.8164067529698178
102715,0.8164203518319767
103759,0.8164266690861209
125290,0.8164620424662172
137307,0.8164661783515753
127704,0.816474041171672
91461,0.8164768390168373
145121,0.8164902473391678
95202,0.8164932584870701
54090,0.8165021615450644
44448,0.8165046579039955
105165,0.8165729233545181
133330,0.8165895357238868
85472,0.8165918499946813
57132,0.816612429189201
85265,0.81662769823889
151673,0.8166607197710867
136464,0.816670376382887
58577,0.8166773172395788
96176,0.8166875844347008
120498,0.8167039927307777
147221,0.8167434085770438
14441,0.8167488306203098
150425,0.8167535786087263
90933,0.8167760929237913
125658,0.816776168872949
135372,0.8167879191054501
43892,0.8167988152783469
135510,0.8168054821507539
128048,0.8168164128739356
103001,0.816821476710122
138592,0.8168250812096822
111764,0.8168263108227434
68068,0.8168413793314434
129573,0.8168449785129872
90953,0.8168725230269483
124678,0.8168756903817344
137133,0.816891657683509
45343,0.8169231007078506
135572,0.8169369562530355
125234,0.8169370411688525
126342,0.8169386116721945
51732,0.8169568108291558
141043,0.816981210943664
101819,0.8169977723072874
49189,0.8170136806165484
108778,0.817014902252691
89420,0.8170190765358262
31525,0.8170439412850555
51389,0.8170447875659574
110322,0.8170663028203399
149017,0.8170793644422798
123561,0.8170813954748811
107522,0.8170942016614585
140260,0.817096620375356
133139,0.8170996601211309
151352,0.8171101700088502
138062,0.8171179993238077
100050,0.8171449690959353
95796,0.8171486612995864
116313,0.8171643886716483
109593,0.8171661902850095
134591,0.8171945858928252
119301,0.8172077723263891
126913,0.8172154994716254
51763,0.8172217961688093
46177,0.8172278503716347
115103,0.8172346223228342
55715,0.8172361769676988
93582,0.8172633637372785
139507,0.8172687495854873
110276,0.817273821365499
100655,0.8172819154342525
125277,0.8172930684399773
9488,0.8172997157090083
96597,0.817312668785806
126888,0.8173172403529091
58320,0.8173325270027351
44498,0.8173413250162914
54798,0.8173705070812439
147449,0.8173823918672866
769,0.8173848983850222
98960,0.8173933016728935
94677,0.817413113192251
99611,0.8174332831786759
